id,lon,lat,zona
597,-73.819877,40.68011,Queens
598,-73.812163,40.683237,Queens
599,-73.80921,40.678113,Queens
600,-73.818326,40.673764,Queens
601,-73.820829,40.66878,Queens
602,-73.809679,40.670448,Queens
603,-73.804146,40.67039,Queens
604,-73.81056,40.66453,Queens
605,-73.800937,40.647628,Queens
606,-73.779472,40.771845,Queens
607,-73.771934,40.774645,Queens
608,-73.7659,40.766945,Queens
609,-73.777197,40.765301,Queens
610,-73.791085,40.764151,Queens
611,-73.788447,40.770271,Queens
612,-73.783727,40.764045,Queens
613,-73.792301,40.754119,Queens
614,-73.791613,40.745606,Queens
615,-73.794698,40.740051,Queens
616,-73.787773,40.759384,Queens
617,-73.781624,40.759356,Queens
618,-73.785006,40.752267,Queens
619,-73.77877,40.753142,Queens
620,-73.782669,40.744964,Queens
621,-73.775955,40.74685,Queens
622,-73.773692,40.761171,Queens
623,-73.763883,40.761419,Queens
624,-73.772942,40.756723,Queens
625,-73.770878,40.752736,Queens
626,-73.767229,40.748948,Queens
627,-73.764153,40.755552,Queens
628,-73.754278,40.737423,Queens
629,-73.754492,40.731946,Queens
630,-73.760768,40.744206,Queens
631,-73.750349,40.74712,Queens
632,-73.750409,40.759697,Queens
633,-73.74252,40.745363,Queens
634,-73.747066,40.772496,Queens
635,-73.734178,40.752663,Queens
636,-73.724839,40.759744,Queens
637,-73.740858,40.76224,Queens
638,-73.731449,40.766615,Queens
639,-73.755261,40.754665,Queens
640,-73.812013,40.700718,Queens
641,-73.808767,40.697959,Queens
642,-73.810043,40.694229,Queens
643,-73.807291,40.7059,Queens
644,-73.805783,40.703074,Queens
645,-73.793653,40.707864,Queens
646,-73.788231,40.709546,Queens
647,-73.79898,40.700699,Queens
648,-73.795836,40.694815,Queens
649,-73.789911,40.697585,Queens
650,-73.805522,40.692042,Queens
651,-73.802399,40.687365,Queens
652,-73.798962,40.683633,Queens
653,-73.79669,40.677349,Queens
654,-73.78645,40.669313,Queens
655,-73.794317,40.671446,Queens
656,-73.796889,40.668893,Queens
657,-73.79237,40.689499,Queens
658,-73.784859,40.691764,Queens
659,-73.789354,40.685144,Queens
660,-73.781931,40.686898,Queens
661,-73.786564,40.678555,Queens
662,-73.777237,40.683029,Queens
663,-73.779798,40.671853,Queens
664,-73.764366,40.670043,Queens
665,-73.772451,40.675149,Queens
666,-73.767861,40.679047,Queens
667,-73.764911,40.685318,Queens
668,-73.758167,40.679341,Queens
669,-73.754475,40.6893,Queens
670,-73.772601,40.689373,Queens
671,-73.771107,40.69627,Queens
672,-73.755467,40.700699,Queens
673,-73.757312,40.695696,Queens
674,-73.78304,40.700727,Queens
675,-73.781222,40.705621,Queens
676,-73.782825,40.710339,Queens
677,-73.77788,40.711101,Queens
678,-73.7735,40.712569,Queens
679,-73.763995,40.71173,Queens
680,-73.76322,40.715234,Queens
681,-73.760288,40.705821,Queens
682,-73.759493,40.709318,Queens
683,-73.798555,40.705221,Queens
684,-73.800149,40.707863,Queens
685,-73.715667,40.7526,Queens
686,-73.707997,40.743274,Queens
687,-73.707816,40.73365,Queens
688,-73.719811,40.738474,Queens
689,-73.717758,40.728718,Queens
690,-73.740163,40.733469,Queens
691,-73.730274,40.74042,Queens
692,-73.725253,40.735562,Queens
693,-73.729458,40.728495,Queens
694,-73.749807,40.728017,Queens
695,-73.758879,40.722759,Queens
696,-73.751579,40.723001,Queens
697,-73.742237,40.722654,Queens
698,-73.736444,40.72487,Queens
699,-73.753579,40.716714,Queens
700,-73.746787,40.718876,Queens
701,-73.733776,40.715383,Queens
702,-73.743652,40.71253,Queens
703,-73.750545,40.710077,Queens
704,-73.737942,40.706794,Queens
705,-73.731056,40.707267,Queens
706,-73.729327,40.70133,Queens
707,-73.746077,40.700731,Queens
708,-73.744442,40.706095,Queens
709,-73.737291,40.701037,Queens
710,-73.731577,40.698324,Queens
711,-73.739407,40.697467,Queens
712,-73.730746,40.694175,Queens
713,-73.74282,40.691721,Queens
714,-73.736487,40.689768,Queens
715,-73.729693,40.68749,Queens
716,-73.729382,40.677716,Queens
717,-73.740377,40.677528,Queens
718,-73.738626,40.683573,Queens
719,-73.748699,40.681785,Queens
720,-73.751457,40.675681,Queens
721,-73.75625,40.671703,Queens
722,-73.742997,40.672848,Queens
723,-73.747406,40.668848,Queens
724,-73.733482,40.669846,Queens
725,-73.773907,40.664758,Queens
726,-73.765613,40.661375,Queens
727,-73.783561,40.665515,Queens
728,-73.740471,40.662381,Queens
729,-73.729947,40.659695,Queens
730,-73.733873,40.658587,Queens
731,-73.745285,40.650697,Queens
732,-73.750908,40.655886,Queens
733,-73.750612,40.663644,Queens
734,-73.755916,40.660312,Queens
735,-73.750755,40.60747,Queens
736,-73.764987,40.606035,Queens
737,-73.767914,40.595205,Queens
738,-73.746416,40.598923,Queens
739,-73.758924,40.59576,Queens
740,-73.78153,40.598136,Queens
741,-73.796365,40.593931,Queens
742,-73.812277,40.587885,Queens
743,-73.837694,40.58034,Queens
744,-73.896541,40.562721,Queens
745,-73.819384,40.614888,Queens
746,-73.939465,40.761653,Queens
747,-73.918089,40.723892,Queens
748,-73.92272,40.729799,Queens
749,-73.88604,40.693147,Queens
750,-73.771022,40.704739,Queens
751,-73.826449,40.740288,Queens
752,-73.822724,40.733524,Queens
753,-73.916979,40.80377,Bronx
754,-73.926027,40.80891,Bronx
755,-73.92125,40.806852,Bronx
756,-73.916972,40.804944,Bronx
757,-73.913482,40.807217,Bronx
758,-73.911184,40.81111,Bronx
759,-73.906254,40.809921,Bronx
760,-73.929853,40.820426,Bronx
761,-73.927007,40.813725,Bronx
762,-73.921899,40.809637,Bronx
763,-73.919991,40.811343,Bronx
764,-73.921931,40.817354,Bronx
765,-73.917613,40.813549,Bronx
766,-73.913415,40.818175,Bronx
767,-73.916267,40.82176,Bronx
768,-73.918678,40.819408,Bronx
769,-73.907769,40.819027,Bronx
770,-73.907293,40.815231,Bronx
771,-73.889684,40.815175,Bronx
772,-73.894626,40.814231,Bronx
773,-73.899432,40.806921,Bronx
774,-73.887308,40.81957,Bronx
775,-73.885534,40.815897,Bronx
776,-73.877128,40.810536,Bronx
777,-73.901178,40.814825,Bronx
778,-73.897725,40.81958,Bronx
779,-73.894546,40.818417,Bronx
780,-73.894049,40.8223,Bronx
781,-73.890128,40.823202,Bronx
782,-73.888372,40.825937,Bronx
783,-73.898452,40.82586,Bronx
784,-73.899262,40.82251,Bronx
785,-73.892781,40.825575,Bronx
786,-73.907597,40.831356,Bronx
787,-73.909833,40.82702,Bronx
788,-73.912617,40.827256,Bronx
789,-73.912808,40.823526,Bronx
790,-73.902589,40.827062,Bronx
791,-73.906493,40.826231,Bronx
792,-73.904016,40.822722,Bronx
793,-73.905342,40.835169,Bronx
794,-73.901028,40.842799,Bronx
795,-73.902871,40.839558,Bronx
796,-73.895513,40.838534,Bronx
797,-73.901923,40.832572,Bronx
798,-73.89896,40.830971,Bronx
799,-73.894561,40.833417,Bronx
800,-73.890389,40.835562,Bronx
801,-73.89406,40.828565,Bronx
802,-73.889384,40.828266,Bronx
803,-73.888665,40.831978,Bronx
804,-73.885431,40.836787,Bronx
805,-73.92625,40.824358,Bronx
806,-73.923304,40.822477,Bronx
807,-73.927244,40.830036,Bronx
808,-73.922873,40.830453,Bronx
809,-73.920395,40.835198,Bronx
810,-73.928968,40.833857,Bronx
811,-73.932174,40.831457,Bronx
812,-73.925938,40.836758,Bronx
813,-73.926295,40.841844,Bronx
814,-73.923998,40.840399,Bronx
815,-73.919968,40.841691,Bronx
816,-73.914779,40.841917,Bronx
817,-73.917468,40.837862,Bronx
818,-73.919901,40.828149,Bronx
819,-73.917094,40.826124,Bronx
820,-73.917554,40.831933,Bronx
821,-73.914093,40.83074,Bronx
822,-73.914723,40.835855,Bronx
823,-73.910576,40.834896,Bronx
824,-73.911424,40.840702,Bronx
825,-73.907913,40.841387,Bronx
826,-73.920746,40.849274,Bronx
827,-73.918687,40.856041,Bronx
828,-73.913739,40.848153,Bronx
829,-73.918085,40.847323,Bronx
830,-73.914935,40.854021,Bronx
831,-73.91357,40.85737,Bronx
832,-73.911846,40.852566,Bronx
833,-73.90813,40.856632,Bronx
834,-73.899059,40.851653,Bronx
835,-73.902318,40.851853,Bronx
836,-73.906464,40.853274,Bronx
837,-73.90486,40.852252,Bronx
